"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"Odoribacter       osp    Odoribacter splanchnicus                        2011 GenBank"
"Butyricimonas     buy    Butyricimonas faecalis                          2019 GenBank"
"Azobacteroides    aps    Candidatus Azobacteroides pseudotrichonymphae   2008 GenBank"
"pru    Prevotella ruminicola                           2010 GenBank"
"pmz    Prevotella melaninogenica                       2010 GenBank"
"pdn    Prevotella denticola                            2011 GenBank"
"pit   Prevotella intermedia                           2012 GenBank"
"pdt    Prevotella dentalis                             2013 GenBank"
"Prevotella"
"pro    Prevotella sp. oral taxon 299                   2013 GenBank"
"pfus   Prevotella fusca                                2015 GenBank"
"peo    Prevotella enoeca                               2016 GenBank"
"pje    Prevotella jejuni                               2018 GenBank"
"poc    Prevotella oris                                 2019 GenBank"
"Alloprevotella    alq    Alloprevotella sp. E39                          2019 GenBank"
"afd    Alistipes finegoldii                            2012 GenBank"
"ash    Alistipes shahii                                2013 GenBank"
"ald    Alistipes sp. dk3624                            2019 GenBank"
"Alistipes"
"aok    Alistipes onderdonkii subsp. vulgaris           2020 GenBank"
"acou Alistipes communis                                2020 GenBank"
"ada    Alistipes dispar                                2020 GenBank"
"Mucinivorans      rbc    Mucinivorans hirudinis                          2014 GenBank"
"Tenuifilum         ttz   Tenuifilum thalassicum                          2020 GenBank"
"unclassified Bacteroidales     bacc Bacteroidales bacterium CF                           2013 GenBank"
"dori   Draconibacterium orientale                         2014 GenBank"
"Draconibacterium"
"drc   Draconibacterium sp. M1                            2020 GenBank"
"Salinivirga                     blq   Salinivirga cyanobacteriivorans                    2016 GenBank"
"Alkalitalea                    asx    Alkalitalea saponilacus                            2017 GenBank"
"Labilibaculum                  mbas Labilibaculum antarcticum                            2018 GenBank"
"sru   Salinibacter ruber DSM 13855                       2005 RefSeq"
"Salinibacter"
"srm    Salinibacter ruber M8                              2010 GenBank"
"rmr    Rhodothermus marinus DSM 4252                      2009 GenBank"
"Rhodothermus"
"rmg    Rhodothermus marinus SG0.5JP17-172                 2011 GenBank"
"unclassified Rhodothermaceae   rbar   Rhodothermaceae bacterium RA                       2017 GenBank"
"cpi   Chitinophaga pinensis                              2009 GenBank"
"cbae Chitinophaga caeni                                   2018 GenBank"
"Chitinophaga"
"chit   Chitinophaga sp. XS-30                             2019 GenBank"
"chih   Chitinophaga sp. H33E-04                           2020 GenBank"
"Niastella                      nko    Niastella koreensis                                2012 GenBank"
"nso    Niabella soli                                      2015 GenBank"
"Niabella"
"nia   Niabella ginsenosidivorans                         2016 GenBank"
"fla   Flavisolibacter tropicus                           2016 GenBank"
"Flavisolibacter"
"fgg   Flavisolibacter ginsenosidimutans                  2019 GenBank"
"arb   Arachidicoccus sp. BS20                            2016 GenBank"
"ark   Arachidicoccus sp. KIS59-12                        2018 GenBank"
"Arachidicoccus"
"agi   Arachidicoccus ginsenosidivorans                   2019 GenBank"
"arac   Arachidicoccus sp. B3-10                           2019 GenBank"
"Filimonas                       fln   Filimonas lacunae                                  2017 GenBank"
"Pseudoflavitalea               pseg Paraflavitalea soli                                  2018 GenBank"
"Panacibacter                   pgin   Panacibacter ginsenosidivorans                     2019 GenBank"
"Pseudobacter                   pgo    Pseudobacter ginsenosidimutans                     2019 GenBank"
"Flavihumibacter                 fls   Flavihumibacter sp. SB-02                          2019 GenBank"
"Lacibacter                     lacs   Lacibacter sp. S13-6-6                             2020 GenBank"
"Haliscomenobacter              hhy    Haliscomenobacter hydrossis                        2011 GenBank"
"Saprospira                     sgn    Saprospira grandis                                 2012 GenBank"
"phe    Pedobacter heparinus                               2009 GenBank"
"pep    Pedobacter sp. PACM 27299                          2016 GenBank"
"pcm    Pedobacter cryoconitis                             2016 GenBank"
"Pedobacter                     psty   Pedobacter steynii                                 2016 GenBank"
"pgs    Pedobacter ginsengisoli                            2017 GenBank"
"pej   Pedobacter sp. CJ43                                2019 GenBank"
"pek    Pedobacter sp. KBS0701                             2020 GenBank"
"Pseudopedobacter               psn    Pseudopedobacter saltans                           2011 GenBank"
"shg    Sphingobacterium sp. 21                            2011 GenBank"
"sht   Sphingobacterium sp. ML3W                          2014 GenBank"
"sphn Sphingobacterium sp. B29                             2017 GenBank"
"smiz Sphingobacterium mizutaii                            2018 GenBank"
"spsc Sphingobacterium psychroaquaticum                    2019 GenBank"
"Sphingobacterium"
"sphz Sphingobacterium sp. CZ-2                            2019 GenBank"
"sphe Sphingobacterium sp. dk4302                          2019 GenBank"
"spdr   Sphingobacterium sp. DR205                         2020 GenBank"
"sdj   Sphingobacterium daejeonense                       2020 GenBank"
"stha   Sphingobacterium thalpophilum                      2020 GenBank"
"Solitalea                      scn    Solitalea canadensis                               2012 GenBank"
"mup    Mucilaginibacter sp. PAMC 26640                    2016 GenBank"
"muc    Mucilaginibacter xinganensis                       2017 GenBank"
"mgot Mucilaginibacter gotjawali                           2017 GenBank"
"muh    Mucilaginibacter sp. HYN0043                       2018 GenBank"
"Mucilaginibacter"
"mgin Mucilaginibacter ginsenosidivorans                   2019 GenBank"
"mgk    Mucilaginibacter ginsenosidivorax                  2019 GenBank"
"mrub Mucilaginibacter rubeus                              2020 GenBank"
"mgos Mucilaginibacter gossypii                            2020 GenBank"
"Anseongella                    agd    Anseongella ginsenosidimutans                      2019 GenBank"
"Olivibacter                     oli   Olivibacter sp. LS-1                               2019 GenBank"
"unclassified"
"sbx    Sphingobacteriaceae bacterium GW460-11-11-14-LB5   2018 GenBank"
"Sphingobacteriaceae"
"cmr    Cyclobacterium marinum                             2011 GenBank"
"Cyclobacterium"
"camu Cyclobacterium amurskyense                           2015 GenBank"
"Belliella                      bbd    Belliella baltica                                  2012 GenBank"
""
"evi   Echinicola vietnamensis                            2012 GenBank"
"Echinicola                      est   Echinicola strongylocentroti                       2018 GenBank"
"echi   Echinicola sp. LN3S3                               2019 GenBank"
"Algoriphagus                   alm    Algoriphagus sanaruensis                           2016 GenBank"
"                Cytophaga                       chu    Cytophaga hutchinsonii                                   2006 GenBank"
"Dyadobacter                     dfe    Dyadobacter fermentans                                   2009 GenBank"
"sli   Spirosoma linguale                                       2010 GenBank"
"srd    Spirosoma radiotolerans                                  2015 GenBank"
"smon Spirosoma montaniterrae                                    2017 GenBank"
"Spirosoma"
"spir   Spirosoma pollinicola                                    2018 GenBank"
"spik   Spirosoma sp. KCTC 42546                                 2019 GenBank"
"spib   Spirosoma sp. BT328                                      2020 GenBank"
"Leadbetterella                   lby   Leadbetterella byssophila                                2010 GenBank"
"rsi   Runella slithyformis                                     2011 GenBank"
"Runella                         run    Runella sp. HYN0085                                      2018 GenBank"
"rup    Runella sp. SP2                                          2018 GenBank"
"Emticicia                        eol   Emticicia oligotrophica                                  2012 GenBank"
"fae    Fibrella aestuarina                                      2013 GenBank"
"Fibrella"
"fib   Fibrella sp. ES10-3-2-2                                  2017 GenBank"
"Allopseudarcicella              psez Allopseudarcicella aquatilis                               2018 GenBank"
"Arcticibacterium                 als   Arcticibacterium luteifluviistationis                    2018 GenBank"
"Rhodocytophaga                  rhoz   Rhodocytophaga sp. 172606-1                              2020 GenBank"
"Flexibacter                      fli   Bernardetia litoralis                                    2012 GenBank"
"hsw    Hymenobacter swuensis                                    2014 GenBank"
"hym    Hymenobacter sp. APR13                                   2014 GenBank"
"hyd    Hymenobacter sp. DG25B                                   2014 GenBank"
"hye    Hymenobacter sp. DG25A                                   2015 GenBank"
"hyg    Hymenobacter sedentarius                                 2016 GenBank"
"Hymenobacter                    hyp    Hymenobacter sp. PAMC 26554                              2016 GenBank"
"hyz    Hymenobacter sp. PAMC 26628                              2017 GenBank"
"hnv    Hymenobacter nivis                                       2018 GenBank"
"hyh    Hymenobacter oligotrophus                                2018 GenBank"
"hyj   Hymenobacter jejuensis                                   2019 GenBank"
"hqi   Hymenobacter qilianensis                                 2020 GenBank"
"pko    Pontibacter korlensis                                    2015 GenBank"
"Pontibacter"
"pact   Pontibacter actiniarum                                   2018 GenBank"
"ruf   Rufibacter sp. DG31D                                     2015 GenBank"
"Rufibacter                       rti   Rufibacter tibetensis                                    2016 GenBank"
"rud    Rufibacter sp. DG15C                                     2016 GenBank"
"Nibribacter                      nib   Nibribacter sp. BT10                                     2020 GenBank"
"add    Adhaeribacter sp. KUDC8001                               2020 GenBank"
"Adhaeribacter"
"aswu Adhaeribacter swui                                         2020 GenBank"
"Marivirga                       mtt    Marivirga tractuosa                                      2010 GenBank"
"Roseivirga                       fpf   Roseivirga pacifica                                      2019 GenBank"
"flm   Flammeovirga sp. MY04                                    2016 GenBank"
"Flammeovirga"
"fll   Flammeovirga pectinis                                    2019 GenBank"
"unclassified Flammeovirgaceae    fbt   Flammeovirgaceae bacterium 311                           2015 GenBank"
"Amoebophilus                    aas    Candidatus Amoebophilus asiaticus                        2008 GenBank"
"che    Cardinium endosymbiont cEper1 of Encarsia pergandiella   2012 GenBank"
"Cardinium                       cec    Cardinium endosymbiont of Sogatella furcifera            2018 GenBank"
"cher   Candidatus Cardinium hertigii                            2018 GenBank"
"Chryseolinea                    chk    Chryseolinea soli                                        2018 GenBank"
"gfo    Gramella forsetii                                        2006 GenBank"
"grl   Gramella salexigens                                      2017 GenBank"
"Gramella"
"gfl   Gramella flava                                           2017 GenBank"
"grs    Gramella fulva                                           2018 GenBank"
"fps   Flavobacterium psychrophilum JIP02/86                    2007 RefSeq"
"fpc   Flavobacterium psychrophilum CSF259-93                   2014 GenBank"
"fpy   Flavobacterium psychrophilum FPG101                      2014 GenBank"
"fpo    Flavobacterium psychrophilum FPG3                        2014 GenBank"
""
"fpq    Flavobacterium psychrophilum 950106-1/1                  2014 GenBank"
"fpv   Flavobacterium psychrophilum V3-5                        2015 GenBank"
"fpw    Flavobacterium psychrophilum V4-24                       2015 GenBank"
"Bacteroidetes                                    fpk   Flavobacterium psychrophilum v4-33                       2015 GenBank"
"fpsz   Flavobacterium psychrophilum Z2                          2016 GenBank"
"fjo   Flavobacterium johnsoniae UW101                          2007 GenBank"
"fjg   Flavobacterium anhuiense                                 2017 GenBank"
"fbr   Flavobacterium branchiophilum                            2011 GenBank"
"fco   Flavobacterium columnare                                 2012 GenBank"
"Flavobacterium                   fin   Flavobacterium indicum                                   2012 GenBank"
"fgl   Flavobacterium gilvum                                    2017 GenBank"
"fcm    Flavobacterium commune                                   2017 GenBank"
"                   ffa    Flavobacterium faecale              2018 GenBank"
"fat    Flavobacterium arcticum             2018 GenBank"
"fki    Flavobacterium kingsejongi          2018 GenBank"
"fpal    Flavobacterium pallidum             2019 GenBank"
"fmg     Flavobacterium magnum               2020 GenBank"
"falb    Flavobacterium album                2020 GenBank"
"fcr    Flavobacterium crocinum             2020 GenBank"
"fse    Flavobacterium sediminis            2020 GenBank"
"fsn    Flavobacterium sangjuense           2020 GenBank"
"fnk    Flavobacterium nackdongense         2020 GenBank"
"fak    Flavobacterium alkalisoli           2020 GenBank"
"coc     Capnocytophaga ochracea             2009 GenBank"
"ccm     Capnocytophaga canimorsus           2011 GenBank"
"col    Capnocytophaga sp. oral taxon 323   2016 GenBank"
"chg     Capnocytophaga haemolytica          2016 GenBank"
"capn Capnocytophaga endodontalis            2017 GenBank"
"cgh     Capnocytophaga gingivalis           2018 GenBank"
"Capnocytophaga     clk    Capnocytophaga leadbetteri          2018 GenBank"
"cspu Capnocytophaga sputigena               2018 GenBank"
"ccyn Capnocytophaga cynodegmi               2018 GenBank"
"caph Capnocytophaga sp. H4358               2018 GenBank"
"csto    Capnocytophaga stomatis             2018 GenBank"
"capq Capnocytophaga sp. H2931               2019 GenBank"
"capf    Capnocytophaga sp. FDAARGOS_737     2019 GenBank"
"Robiginitalea      rbi    Robiginitalea biformata             2009 GenBank"
"Zunongwangia       zpr    Zunongwangia profunda               2010 GenBank"
"Croceibacter       cat    Croceibacter atlanticus             2010 GenBank"
"fbc    Maribacter sp. HTCC2170             2010 GenBank"
"marm Maribacter sp. 1_2014MBL_MicDiv        2016 GenBank"
"Maribacter        mart    Maribacter sp. T28                  2017 GenBank"
"marb Maribacter cobaltidurans               2017 GenBank"
"mare Maribacter sp. MJ134                   2019 GenBank"
"cao     Cellulophaga algicola               2011 GenBank"
"cly    Cellulophaga lytica DSM 7489        2011 GenBank"
"Cellulophaga       clh    Cellulophaga lytica HI1             2014 GenBank"
"cbal    Cellulophaga baltica NN016038       2015 GenBank"
"cbat    Cellulophaga baltica 18             2015 GenBank"
"kdi    Dokdonia sp. 4H-3-7-5               2011 GenBank"
"dok     Dokdonia sp. MED134                 2014 GenBank"
"Dokdonia"
"ddo     Dokdonia donghaensis                2016 GenBank"
"dod     Dokdonia sp. Dokd-P16               2018 GenBank"
"lan    Lacinutrix sp. 5H-3-7-4             2011 GenBank"
"Lacinutrix         lvn    Lacinutrix venerupis                2017 GenBank"
"laci   Lacinutrix sp. Bg11-31              2017 GenBank"
"Zobellia          zga     Zobellia galactanivorans            2011 GenBank"
"mrs     Muricauda ruestringensis            2011 GenBank"
"Muricauda          mlt    Muricauda lutaonensis               2015 GenBank"
"mut     Muricauda sp. 501str8               2020 GenBank"
"asl    Aequorivita sublithincola           2012 GenBank"
"Aequorivita"
"aev     Aequorivita sp. H23M31              2019 GenBank"
"Psychroflexus      ptq    Psychroflexus torquis               2012 GenBank"
"ndo     Nonlabens dokdonensis               2013 GenBank"
"nom     Nonlabens sp. MIC269                2016 GenBank"
"Nonlabens         nsd     Nonlabens sediminis                 2017 GenBank"
"nob     Nonlabens sp. MB-3u-79              2018 GenBank"
"noj    Nonlabens sp. MJ115                 2019 GenBank"
"pom     Polaribacter sp. MED152             2013 GenBank"
"pob     Polaribacter vadi                   2016 GenBank"
"prn    Polaribacter reichenbachii          2017 GenBank"
"Polaribacter"
"pola    Polaribacter sp. BM10               2017 GenBank"
"poa     Polaribacter sp. ALD11              2018 GenBank"
"phal    Polaribacter haliotis               2020 GenBank"
"myr     Myroides sp. A21                    2015 GenBank"
"mpw Myroides profundi                       2015 GenBank"
"Myroides"
"mod     Myroides odoratimimus               2016 GenBank"
"myz     Myroides sp. ZB35                   2016 GenBank"
"win    Winogradskyella sp. PG-2            2015 GenBank"
"Winogradskyella"
"wij    Winogradskyella sp. J14-2           2017 GenBank"
"Siansivirga       sze     Siansivirga zeaxanthinifaciens      2015 GenBank"
"Algibacter        ahz     Algibacter alginicilyticus          2016 GenBank"
"Sediminicola                      syi    Sediminicola sp. YIK13                            2016 GenBank"
"tdi    Tenacibaculum dicentrarchi                        2016 GenBank"
"ten     Tenacibaculum todarodis                           2017 GenBank"
"Tenacibaculum                     tje    Tenacibaculum jejuense                            2017 GenBank"
"tmar    Tenacibaculum maritimum                           2018 GenBank"
"tmp     Tenacibaculum mesophilum                          2019 GenBank"
"Lutibacter                        lut    Lutibacter profundi                               2016 GenBank"
"Urechidicola                      lul    Urechidicola croceus                              2016 GenBank"
"Wenyingzhuangia                  wfu     Wenyingzhuangia fucanilytica                      2016 GenBank"
"for    Formosa sp. Hel1_33_131                           2016 GenBank"
"Formosa                          foh     Formosa sp. Hel3_A1_48                            2016 GenBank"
"fop     Formosa sediminum                                 2019 GenBank"
"Salegentibacter                  salt    Salegentibacter sp. T436                          2017 GenBank"
"Seonamhaeicola                   seon Seonamhaeicola sp. S2-3                              2017 GenBank"
"Arenibacter                      aalg    Arenibacter algicola                              2017 GenBank"
"oll    Olleya sp. Bg11-27                                2017 GenBank"
"Olleya"
"oaq     Olleya aquimaris                                  2018 GenBank"
"Flavivirga                        fek    Flavivirga eckloniae                              2018 GenBank"
"Tamlana                           taj    Tamlana carrageenivorans                          2018 GenBank"
"Aureitalea                       aue     Aureitalea sp. RR4-38                             2018 GenBank"
"Spongiibacterium                 spon Flagellimonas maritima                               2018 GenBank"
"kos     Kordia sp. SMS9                                   2018 GenBank"
"Kordia"
"kan     Kordia antarctica                                 2020 GenBank"
"Mariniflexile                    marf    Mariniflexile sp. TRM1-10                         2018 GenBank"
"aqb     Aquimarina sp. BL5                                2018 GenBank"
"Aquimarina                       aqa     Aquimarina sp. AD1                                2018 GenBank"
"aqd     Aquimarina sp. AD10                               2018 GenBank"
"Euzebyella                       emar Euzebyella marina                                    2018 GenBank"
"Muriicola                        mur     Muriicola sp. MMS17-SY002                         2019 GenBank"
"Psychroserpens                   psyn Psychroserpens sp. NJDZ02                            2019 GenBank"
"afla    Antarcticibacterium flavum                        2019 GenBank"
"Antarcticibacterium"
"anp     Antarcticibacterium sp. PAMC 28998                2019 GenBank"
"Oceanihabitans                    oci    Oceanihabitans sp. IOP_32                         2019 GenBank"
"Marinirhabdus                    mgel Marinirhabdus gelatinilytica                         2020 GenBank"
"Mesoflavibacter                  mesq Mesoflavibacter sp. HG96                             2020 GenBank"
"Galbibacter                      gaa     Galbibacter sp. bg1                               2020 GenBank"
"Costertonia                      cagg Costertonia aggregata                                2020 GenBank"
"Altibacter                        alti   Altibacter sp. ALE3EI                             2020 GenBank"
"fba     Flavobacteriaceae bacterium 3519-10               2009 GenBank"
"unclassified Flavobacteriaceae   fbu     Flavobacteriaceae bacterium UJ101                 2017 GenBank"
"fbe     Flavobacteriaceae bacterium 10Alg115              2019 GenBank"
"ran     Riemerella anatipestifer ATCC 11845 = DSM 15868   2010 GenBank"
"rai    Riemerella anatipestifer ATCC 11845 = DSM 15868   2012 GenBank"
"rar    Riemerella anatipestifer RA-GD                    2012 GenBank"
"Riemerella"
"rag     Riemerella anatipestifer RA-CH-1                  2012 GenBank"
"rae     Riemerella anatipestifer RA-CH-2                  2013 GenBank"
"rat    Riemerella anatipestifer CH3                      2014 GenBank"
"Weeksella                        wvi     Weeksella virosa                                  2011 GenBank"
"orh     Ornithobacterium rhinotracheale DSM 15997         2012 GenBank"
"Ornithobacterium"
"ori    Ornithobacterium rhinotracheale ORT-UMN 88        2014 GenBank"
"eao     Elizabethkingia anophelis NUHP1                   2014 GenBank"
"emn     Elizabethkingia anophelis FMS-007                 2015 GenBank"
"een     Elizabethkingia anophelis JM-87                   2017 GenBank"
"elb    Elizabethkingia miricola                          2015 GenBank"
"Elizabethkingia                  emg     Elizabethkingia meningoseptica                    2017 GenBank"
"ego     Elizabethkingia ursingii                          2017 GenBank"
"egm     Elizabethkingia bruuniana                         2017 GenBank"
"elz    Elizabethkingia sp. 2-6                           2019 GenBank"
"elt    Elizabethkingia sp. JS20170427COW                 2020 GenBank"
"chz     Chryseobacterium sp. StRB126                      2015 GenBank"
"cgn     Chryseobacterium gallinarum                       2015 GenBank"
"cih    Chryseobacterium sp. IHB B 17019                  2016 GenBank"
"chh     Chryseobacterium glaciei                          2016 GenBank"
"cio    Chryseobacterium indologenes                      2017 GenBank"
"chry    Chryseobacterium sp. T16E-39                      2017 GenBank"
"cpip    Chryseobacterium piperi                           2017 GenBank"
"chrs    Chryseobacterium sp. 3008163                      2018 GenBank"
"Chryseobacterium                 chrz    Chryseobacterium sp. 6424                         2018 GenBank"
"carh    Chryseobacterium arthrosphaerae                   2018 GenBank"
"csha Chryseobacterium shandongense                        2019 GenBank"
"                                              cnk    Chryseobacterium nakagawai                          2019 GenBank"
"cjt    Chryseobacterium joostei                            2020 GenBank"
"cil    Chryseobacterium indoltheticum                      2020 GenBank"
"ccau Chryseobacterium carnipullorum                         2020 GenBank"
"cben Chryseobacterium bernardetii                           2020 GenBank"
"ctak    Chryseobacterium taklimakanense                     2018 GenBank"
"cjg    Chryseobacterium jeonii                             2020 GenBank"
"ccas Chryseobacterium carnis                                2020 GenBank"
"Kaistella"
"cant    Chryseobacterium antarcticum                        2020 GenBank"
"kda    Kaistella daneshvariae                              2020 GenBank"
"clac   Chryseobacterium lactis                             2020 GenBank"
"Epilithonimonas"
"eva    Epilithonimonas vandammei                           2020 GenBank"
"Cloacibacterium               cnr    Cloacibacterium normanense                          2018 GenBank"
"ebv    Empedobacter brevis                                 2019 GenBank"
"Empedobacter                  efal   Empedobacter falsenii                               2020 GenBank"
"este    Empedobacter stercoris                              2020 GenBank"
"Bergeyella                   bcad Bergeyella cardium                                     2020 GenBank"
"Apibacter                    apib    Apibacter sp. B2966                                 2020 GenBank"
"Cruoricaptor                  civ    Cruoricaptor ignavus                                2020 GenBank"
"smg     Candidatus Sulcia muelleri GWSS                     2007 GenBank"
"sms     Candidatus Sulcia muelleri SMDSEM                   2009 GenBank"
"smh     Candidatus Sulcia muelleri DMIN                     2010 GenBank"
""
"sum     Candidatus Sulcia muelleri CARI                     2010 GenBank"
"Sulcia                       smv     Candidatus Sulcia muelleri Sulcia-ALF               2013 GenBank"
"smub Candidatus Sulcia muelleri BGSS                        2014 GenBank"
"smum Candidatus Sulcia muelleri ML                          2015 GenBank"
"smue Candidatus Sulcia muelleri TETUND                      2015 GenBank"
"smup Candidatus Sulcia muelleri PSPU                        2015 GenBank"
"bbl    Blattabacterium sp. (Blattella germanica) Bge       2009 GenBank"
"bpi    Blattabacterium sp. BPLAN (Periplaneta americana)   2009 GenBank"
"bmm Blattabacterium sp. (Mastotermes darwiniensis)          2011 GenBank"
"bcp    Blattabacterium Cpu (Cryptocercus punctulatus)      2012 GenBank"
"Blattabacterium               bbg    Blattabacterium sp. (Blaberus giganteus)            2012 GenBank"
"bbq    Blattabacterium sp. (Blatta orientalis)             2013 GenBank"
"blp    Blattabacterium cuenoti                             2013 GenBank"
"blu    Blattabacterium sp. (Nauphoeta cinerea)             2013 GenBank"
"blck   Blattabacterium sp. (Cryptocercus kyebangensis)     2018 GenBank"
"fte    Fluviicola taffensis                                2011 GenBank"
"Fluviicola"
"flu    Candidatus Fluviicola riflensis                     2017 GenBank"
"Owenweeksia                   oho    Owenweeksia hongkongensis                           2012 GenBank"
"Ichthyobacterium              ise    Ichthyobacterium seriolicida                        2017 GenBank"
"Walczuchella                  elv    Candidatus Walczuchella monophlebidarum             2014 GenBank"
"Uzinura                       udi    Candidatus Uzinura diaspidicola                     2013 GenBank"
"unclassified Bacteroidetes   bbau Bacteroidetes bacterium                                2016 GenBank"
"cte    Chlorobaculum tepidum                               2002 RefSeq"
"Chlorobaculum                 cpc    Chlorobaculum parvum                                2008 GenBank"
"clz    Chlorobaculum limnaeum                              2016 GenBank"
"cch    Chlorobium chlorochromatii                          2005 GenBank"
"cph    Chlorobium phaeobacteroides DSM 266                 2006 GenBank"
"Chlorobium                    cpb    Chlorobium phaeobacteroides BS1                     2008 GenBank"
"cli    Chlorobium limicola                                 2008 GenBank"
"pvi    Chlorobium phaeovibrioides                          2007 GenBank"
"Chlorobi                                      plt    Chlorobium luteolum                                 2005 GenBank"
"Pelodictyon"
"pph    Pelodictyon phaeoclathratiforme                     2008 GenBank"
"paa    Prosthecochloris aestuarii                          2008 GenBank"
"proc    Prosthecochloris sp. CIB 2401                       2016 GenBank"
"Prosthecochloris"
"prs    Prosthecochloris sp. HL-130-GSB                     2017 GenBank"
"pros    Prosthecochloris sp. GSB1                           2017 GenBank"
"Chloroherpeton                cts    Chloroherpeton thalassium                           2008 GenBank"
"Ignavibacterium               ial    Ignavibacterium album                               2012 GenBank"
"Melioribacter                 mro    Melioribacter roseus                                2012 GenBank"
"Balneolaeota    Cyclonatronum                cprv    Candidatus Cyclonatronum proteinivorum              2018 GenBank"
"Cloacimonetes   Cloacimonas                   caci   Candidatus Cloacimonas acidaminovorans              2017 GenBank"
"Aquifex                       aae    Aquifex aeolicus                                    1998 RefSeq"
"hya    Hydrogenobaculum sp. Y04AAS1                        2008 GenBank"
"Hydrogenobaculum              hho    Hydrogenobaculum sp. HO                             2013 GenBank"
"hys    Hydrogenobaculum sp. SN                             2013 GenBank"
"hth    Hydrogenobacter thermophilus                        2010 GenBank"
"Hydrogenobacter               hte    Hydrogenobacter thermophilus                        2012 GenBank"
"Aquificae                                         tal   Thermocrinis albus                                  2010 GenBank"
"Thermocrinis"
"trd   Thermocrinis ruber                                  2014 GenBank"
"sul   Sulfurihydrogenibium sp. YO3AOP1                    2008 GenBank"
"Sulfurihydrogenibium"
"saf    Sulfurihydrogenibium azorense                       2009 GenBank"
"Persephonella            pmx    Persephonella marina                                2009 GenBank"
"Thermosulfidibacter       ttk   Thermosulfidibacter takaii                          2016 GenBank"
"Thermovibrio             tam    Thermovibrio ammonificans                           2011 GenBank"
"Desulfurobacterium       dte    Desulfurobacterium thermolithotrophum               2011 GenBank"
"tma    Thermotoga maritima MSB8                            1999 RefSeq"
"tmm    Thermotoga maritima MSB8                            2013 GenBank"
"tmi    Thermotoga maritima MSB8                            2014 GenBank"
"tmw    Thermotoga maritima MSB8                            2015 GenBank"
"tmq    Thermotoga maritima Tma100                          2015 GenBank"
"tmx    Thermotoga maritima Tma200                          2015 GenBank"
"Thermotoga                tpt   Thermotoga petrophila                               2007 GenBank"
"trq   Thermotoga sp. RQ2                                  2008 GenBank"
"tna    Thermotoga neapolitana                              2009 GenBank"
"tnp    Thermotoga naphthophila                             2009 GenBank"
"thq    Thermotoga sp. 2812B                                2014 GenBank"
"thz    Thermotoga sp. Cell2                                2014 GenBank"
"thr   Thermotoga sp. RQ7                                  2015 GenBank"
"tle   Pseudothermotoga lettingae                          2007 GenBank"
"Pseudothermotoga          tta   Pseudothermotoga thermarum                          2011 GenBank"
"phy    Pseudothermotoga hypogea                            2016 GenBank"
"Thermotogae                                      tme    Thermosipho melanesiensis                           2007 GenBank"
"taf   Thermosipho africanus                               2008 GenBank"
"Thermosipho"
"thp    Thermosipho sp. 1063                                2017 GenBank"
"ther   Thermosipho sp. 1070                                2017 GenBank"
"fno    Fervidobacterium nodosum                            2007 GenBank"
"Fervidobacterium         fpe    Fervidobacterium pennivorans                        2012 GenBank"
"fia   Fervidobacterium islandicum                         2016 GenBank"
"Tepiditoga               ocy    Tepiditoga spiralis                                 2020 GenBank"
"Petrotoga                pmo    Petrotoga mobilis                                   2007 GenBank"
"mpz    Marinitoga piezophila                               2012 GenBank"
"Marinitoga"
"marn Marinitoga sp. 1137                                   2017 GenBank"
"Defluviitoga             dtn    Defluviitoga tunisiensis                            2015 GenBank"
"kol   Kosmotoga olearia                                   2009 GenBank"
"Kosmotoga"
"kpf    Kosmotoga pacifica                                  2015 GenBank"
"mpg    Mesotoga prima                                      2012 GenBank"
"Mesotoga"
"minf   Mesotoga infera                                     2018 GenBank"
"Athalassotoga            asac Athalassotoga saccharophila                           2020 GenBank"
"Coprothermobacterota    Coprothermobacter        cpo    Coprothermobacter proteolyticus                     2008 GenBank"
"Caldiserica             Caldisericum             cex    Caldisericum exile                                  2012 GenBank"
"Chrysiogenetes          Desulfurispirillum       din    Desulfurispirillum indicum                          2011 GenBank"
"Deferribacter            ddf    Deferribacter desulfuricans                         2010 GenBank"
"Denitrovibrio            dap    Denitrovibrio acetiphilus                           2010 GenBank"
"Deferribacteres         Calditerrivibrio          cni   Calditerrivibrio nitroreducens                      2010 GenBank"
"Flexistipes               fsi   Flexistipes sinusarabici                            2011 GenBank"
"Geovibrio                 gtl   Geovibrio thiophilus                                2019 GenBank"
"Calditrichaeota         Caldithrix               caby Caldithrix abyssi                                     2016 GenBank"
"dth    Dictyoglomus thermophilum                           2008 GenBank"
"Dictyoglomi             Dictyoglomus"
"dtu    Dictyoglomus turgidum                               2008 RefSeq"
"Thermodesulfovibrio      tye    Thermodesulfovibrio yellowstonii                    2008 RefSeq"
"nde    Nitrospira defluvii                                 2010 GenBank"
"nmv    Nitrospira moscoviensis                             2015 GenBank"
"Nitrospira"
"nio    Candidatus Nitrospira inopinata                     2016 GenBank"
"Nitrospirae                                      nja    Nitrospira japonica                                 2017 GenBank"
"lfc   Leptospirillum ferrooxidans                         2012 GenBank"
"lfi   Leptospirillum ferriphilum ML-04                    2012 GenBank"
"Leptospirillum"
"lfp   Leptospirillum ferriphilum YSK                      2014 GenBank"
"leg    Leptospirillum sp. Group II                         2015 GenBank"
